category,difficulty,question,correctAnswer,incorrect1,incorrect2,incorrect3
Sports,Hard,"Which German Grand Prix circuit was used for a Formula 1 race for the last time in 1976\, when Niki Lauda was almost killed?",Nurburgring,Hokkenheim,Spa,Monza
Sports,Hard,Which legendary games designer/producer created the Super Mario Brothers franchise for Nintendo?,Shigeru Miyamoto,Yu Suzuki,Satoru Iwata,Gunpei Yokoi
Sports,Hard,Which of these is a Rugby competition?,The Six Nations,The Open Championship,The FINA World Championships,The Hopman Cup
Sports,Hard,In a game of netball how many players on a team are allowed to score?,Two,Five,Four,Three
Sports,Hard,In which English city did Roger Bannister become the first man to run a mile in under 4 minutes? ,Oxford,Manchester,London,York
Sports,Hard,Which country hosted the 1934 FIFA World Cup?,Italy,Germany,United States,England
Sports,Hard,"Which country won the 1966 FIFA World Cup\, hosted in England?",England,France,Brazil,West Germany
Sports,Hard,Which of these is a baseball team based in Philadelphia?,Philadelphia Phillies,Philadelphia Brewers,Philadelphia Crew,Philadelphia Orioles
Sports,Hard,With which sport is Martina Navratilova associated?,Tennis,Table tennis,Gymnastics,Motor Racing
Sports,Hard,With which sport is Larisa Latynina associated?,Gymnastics,Basketball,Rugby Union,Football
Sports,Hard,Which country hosted the 2006 FIFA World Cup?,Germany,Russia,South Africa,South Korea & Japan
Sports,Hard,Which of these is a legal pitching position in baseball?,The wind-up,The pitch,The strike,The charge
Sports,Hard,With what sport is Gabriela Sabatini associated?,Tennis,Soccer,Golf,Athletics
Sports,Hard,Which of these is a soccer team based in Chicago?,Chicago Fire,Chicago FC,Chicago Rangers,Chicago Marlins
Sports,Hard,Which sport is played at The Copa América?,Soccer,Cycling,American Football,Sailing
Sports,Hard,Who was the 1978 Wimbledon Women's Singles champ?,Martina Navratilova,Steffi Graf,Chris Evert,Margaret Court
Sports,Hard,Which of these is a traditional Russian sport?,Bandy,Korfball,Kabaddi,Jereed
Sports,Hard,Which team won the first UEFA Champions League in 1992?,Marseille,Real Madrid,FC Schalke,Manchester United
Sports,Hard,Which of these is a soccer team based in Orlando?,Orlando City,Orlando Eathquakes,Orlando Kings,Orlando Royals
Sports,Hard,Who was known as boxing's 'Golden Boy' and now promotes a stable of fighters under his Golden Boy Promotions?,Oscar De La Hoya,Floyd Mayweather Jr.,Muhammad Ali,Mike Tyson
Sports,Hard,Which of these is a soccer team based in Cincinnati?,FC Cincinnati,Cincinnati Orioles,Cincinnati FC,Sporting Cincinnati
Sports,Hard,Which country hosted the 1982 FIFA World Cup?,Spain,Brazil,Germany,United States
Sports,Hard,"Which country won the 2002 FIFA World Cup\, hosted in South Korea & Japan?",Brazil,France,Germany,Spain
Sports,Hard,Which country hosted the 1990 FIFA World Cup?,Italy,Brazil,United States,Switzerland
Sports,Hard,Which country hosted the 1930 FIFA World Cup?,Uruguay,South Africa,Germany,Mexico
Sports,Hard,In which university was Gerald Ford voted MVP of the football team in 1934?,University of Michigan,Ohio State University,University of Notre Dame,Harvard University
Sports,Hard,Which of these is an American Football team based in Cincinnati?,Cincinnati Bengals,Cincinnati Mariners,Cincinnati Cavaliers,Cincinnati FC
Sports,Hard,Which English football team are nicknamed the Tractor Boys?,Ipswich Town,Plymouth Argyle,Norwich City,Bristol Rovers
Sports,Hard,Which of these is a basketball team based in Charlotte?,Charlotte Hornets,Charlotte Inter,Charlotte Magic,Charlotte Astros
Sports,Hard,Which of these is a basketball team based in Orlando?,Orlando Magic,Orlando Colts,Orlando Timbers,Orlando Raptors
Sports,Hard,Which of these is an American Football team based in Baltimore?,Baltimore Ravens,Baltimore Blues,Baltimore Crew,Baltimore Wizards
Sports,Hard,Which site hosts the famous horse racing event known as the Kentucky Derby?,Churchill Downs,Pimlico Race Course,Belmont Park,Saratoga Race Course
Sports,Hard,With which sport is Alberta Tomba associated?,Skiing,Cricket,Volleyball,Snooker
Sports,Hard,The first ever Olympic Games to be held south of the equator opened in which city in 1956?,Melbourne,Cape Town,Buenos Aires,Rio de Janeiro
Sports,Hard,What is the nickname of the English football team Preston North End?,The Lilywhites,The Blades,The Blues,The Hornets
Sports,Hard,Which grade follows a yellow belt in Judo?,Orange,Blue,Yellow,Red
Sports,Hard,Alan Shearer was the first player to score 200 Premiership goals. Who was the second?,Andy Cole,Wayne Rooney,Sergio Aguero,Harry Kane
Sports,Hard,With which sport is Paula Radcliffe associated?,Running,Skiing,Rugby Union,Gymnastics
Sports,Hard,Which of these is a soccer team based in Portland?,Portland Timbers,Portland Sporting,Portland Indians,Portland Dolphins
Sports,Hard,Which of these is a soccer team based in San Jose?,San Jose Eathquakes,San Jose Bengals,San Jose Heat,San Jose Hawks
Sports,Hard,Which of these is an American Football team based in Tampa?,Tampa Bay Buccaneers,Tamba Bay Bears,Tampa Bay Nuggets,Tampa Bay Broncos
Sports,Hard,What is the nickname of the English football team Bristol City?,The Robins,The Red Devils,The Whites,The Hatters
Sports,Hard,What type of fruit is depicted on top of the mens singles trophy at Wimbledon?,A Pineapple,A Strawberry,An Apple,A Raspberry
Sports,Hard,Which country hosted the 1970 FIFA World Cup?,Mexico,Brazil,Chile,Sweden
Sports,Hard,Which of these is a basketball team based in Atlanta?,Atlanta Hawks,Atlanta Suns,Atlanta Nationals,Atlanta Rockets
Sports,Hard,"Which NFL team\, known for its fans\ distinctive cheese wedge hats\, is also nicknamed Cheeseheads?",The Green Bay Packers,The Dallas Cowboys,The Pittsburgh Steelers,The New England Patriots
Sports,Hard,What sport do the following terms belong to: Tight End & Wide Receiver?,American Football,Soccer,Baseball,Basketball
Sports,Hard,Which of these is a hockey team based in Montreal?,Montreal Canadiens,Montreal Saints,Montreal Tigers,Montreal Rangers
Sports,Hard,What was Jack Nicklaus' nickname?,Golden Bear,Black Tiger,Silver Swan,Red Eagle
Sports,Hard,Which of these is a basketball team based in Washington?,Washington Wizards,Washington Knicks,Washington Raiders,Washington Red Sox
Sports,Hard,What are you doing when you are sniggling?,Eel fishing,Bear hunting,Hawking,Crabbing
Sports,Hard,Who was first to win the US Masters five times?,Jack Nicklaus,Tiger Woods,Phil Mickelson,Bobby Jones
Sports,Hard,What sport would you associate with The Americas Cup?,Sailing,Golf,Motorsports,Horse Racing
Sports,Hard,In what sport did the word crestfallen originate?,Cockfighting,Rugby,Horse Racing,Tennis
Sports,Hard,With which sport is Eddy Merckx associated?,Cycling,Skiing,Snooker,Tennis
Sports,Hard,How many fighters are playable in Street Fighter II?,8,5,14,20
Sports,Hard,With which sport is Seve Ballesteros associated?,Golf,Cricket,Badminton,Surfing
Sports,Hard,Which country won yhe first Football World Cup? ,Uruguay,Brazil,West Germany,France
Sports,Hard,Which of these is a hockey team based in Philadelphia?,Philadelphia Flyers,Philadelphia Brewers,Philadelphia Eagles,Philadelphia Blues
Sports,Hard,Which of these is a basketball team based in Houston?,Houston Rockets,Houston Thunder,Houston Astros,Houston Sounders
Sports,Hard,Which of these is a hockey team based in Chicago?,Chicago Blackhawks,Chicago Thunder,Chicago Steelers,Chicago Suns
Sports,Hard,Which of these is a hockey team based in Edmonton?,Edmonton Oilers,Edmonton Steelers,Edmonton Eathquakes,Edmonton Padres
Sports,Hard,What is the nickname of the English football team Birmingham City?,The Blues,The Hoops,The Citizens,Cottagers
Sports,Hard,Which of these is an American Football team based in Indianapolis?,Indianapolis Colts,Indianapolis Kings,Indianapolis Ravens,Indianapolis Bucks
Sports,Hard,Who was the first African-American female to win a Wimbledon Tennis event?,Althea Gibson,Venus Williams,Serena Williams,Maureen Dalyweather
Sports,Hard,In which winter sport do athletes ski cross-country to a shooting range?,Biathlon,Ski jumping,Skeet shooting,Winter combat
Sports,Hard,Who wore a cabbage leaf under his cap?,Babe Ruth,Ian Botham,Jay Rodriguez,Brian Lara
Sports,Hard,In the world of sport what has the maximum dimensions of 60 metres by 30 metres?,An Ice Skating Rink,A Football Pitch,A Tennis Court,A Rugby Pitch
Sports,Hard,"What nationality is former Snooker World Champion\, Cliff Thorburn?",Canadian,American,English,Irish
Sports,Hard,Which of these is an American Football team based in Chicago?,Chicago Bears,Chicago Falcons,Chicago Marlins,Chicago Timbers
Sports,Hard,Which of these is a hockey team based in Ottawa?,Ottawa Senators,Ottawa Astros,Ottawa Mariners,Ottawa Canadiens
Sports,Hard,With which sport is Eusebio associated?,Football,Swimming,Hockey,Motor racing
Sports,Hard,Which of these is a basketball team based in Philadelphia?,Philadelphia 76ers,Philadelphia Inter,Philadelphia Lions,Philadelphia Whitecaps
