category,difficulty,question,correctAnswer,incorrect1,incorrect2,incorrect3
Geography,Medium,Where would you find the city of Skopje?,Macedonia,France,Greece,Estonia
Geography,Medium,In which US state is Chicago?,Illinois ,Texas,Hawaii,Ohio
Geography,Medium,What does the flag of Poland look like?,Two equal horizontal bands of white and red.,Maroon with a broad white serrated band on the left side.,Scarlet Red with a yellow hammer and sickle insignia.,"Three horizontal stripes: blue on the top\, black in the middle\, and white on the bottom."
Geography,Medium,Which river is Dusseldorf an important port on?,The Rhine,The Amazon,The Seine,The Tiber
Geography,Medium,The country of Saint Vincent and the Grenadines is on which continent?,North America,South America,Oceania,Europe
History,Medium,Where was the Greek army of Leonides annihilated by Persians in 480BC?,Thermopylae,Marathon,Corinth,Troy
History,Medium,In which year did the United States enter World War I?,1917,1914,1941,1945
History,Medium,In Which City Was John F Kennedy Assassinated?,Dallas,Atlanta,Austin,Houston
History,Medium,Who was the first dog in space?,Laika,Bella,Svetlana,Fido
History,Medium,In which year did the battle of Hastings take place?,1066,1166,1266,1366
History,Medium,What country was invaded by Iraq in 1990?,Kuwait,Israel,Turkey,Saudi Arabia
History,Medium,In What year did British Honduras become Belize?,1973,1930,1891,1990
History,Medium,"What was the nickname of President Duvalier of Haiti\, who died in 1971?",Papa Doc,Big Daddy,Pa Lordy,Man Man Judge
History,Medium,What is the name given to the period of European history prior to the Renaissance?,Middle Ages,Classical Period,Dark Ages,Age of Exploration
History,Medium,In what year did a tsunami trigger the Fukushima nuclear disaster?,2011,2009,2018,2001
History,Medium,In which year did the Russian Revolution begin?,1917,1867,1950,1822
History,Medium,"William the Conqueror was crowned on Christmas day\, but in what year?",1066,1000,1120,1257
History,Medium,What was the major economic revolution that started in the 18th century?,The Industrial Revolution,The French Revolution,The American Revolution,The Enlightenment
History,Medium,What was the capital of the Ottoman Empire during most of its existence?,Istanbul,Ankara,Bursa,Edirne
History,Medium,In the Christmas song 'Have Yourself A Merry Little Christmas' what 'will be out of sight'?,Troubles,Difficulties,Woes,Problems
History,Medium,What Shakespearean king was actually king of Scotland for 17 years?,Macbeth,Lear,Hamlet,Richard III
History,Medium,"What did Marie Curie die of on 4th July\, 1934?",Radiation poisoning,Drowning,She was hit by a car,She was struck by lightning
History,Medium,Who was head of state of Spain before King Juan Carlos?,General Franco ,General Marco,General Castro,General Raul
History,Medium,What is the name of the 1944 German counteroffensive that was beaten back by allied units?,Battle of the Bulge,Invasion of Normandy,Battle of Stalingrad,Battle of Monte Cassino
History,Medium,Which country was suspended from the G8 in 2014?,Russia,Japan,France,Canada
History,Medium,When was the Greek alphabet first used?,800BC,2000BC,50BC,200AD
History,Medium,As what is the Frankish ruler Charles the Great better known?,Charlemagne,Charles the Bald,Charlione,Charity Charles
History,Medium,What did Julius Caesar cross to signal a revolt against the senate?,The Rubicon River,The Alps,The City Walls,The Pelegrin Fields
History,Medium,Which war involving the UK began in 1982?,The Falklands War,The Irish War,The Vietnam War,The Gibraltan War
History,Medium,Which new country was formed in 1971 at the end of a conflict between Pakistan and India?,Bangladesh,Sri Lanka,Bhutan,Pakistan
History,Medium,When did Napoleon Bonaparte begin his reign as Emperor of France?,1804,1819,1834,1849
History,Medium,Which US City Did British Troops Invade and Burn In 1814?,Washington D.C.,Atlanta,San Francisco,Denver
History,Medium,What type of war vehicle is the M26 Pershing and the M4 Sherman?,A tank,A helicopter,A submarine,A fighter plane
History,Medium,With what country did the US almost start a war during the Cuban Missile Crisis?,Soviet Union,France,Mexico,Brazil
History,Medium,What type of people were obsessed with turning ordinary metals into gold in the Middle Ages?,Alchemists,Hussars,Chandlers,Smelters
History,Medium,"Before becoming a politician\, which US President was a Hollywood actor?",Ronald Reagan,John F. Kennedy,Abraham Lincoln,Barack Obama
History,Medium,On what date did America become an independant nation?,"July 4\, 1776","July 4\, 1787","July 4\, 1786","July 4\, 1767"
History,Medium,Who said 'public service is my motto'?,Al Capone,Jesus,John F Kennedy,Mother Theresa
History,Medium,Which wall did the Romans build to keep out marauding Scots?,Hadrian's Wall,Caesars Wall,Julius Wall,Octavians Wall
History,Medium,"From which French port did 200\,000 British troops flee in 1940?",Dunkirk,Calais,La Havre,Dieppe
History,Medium,Who Had An 80's Hit With The Song 'Just The Two of Us'? ,Bill Withers,Michael Jackson,Luther Vandross,Marvin Gaye
History,Medium,"Who was assassinated on November 22\, 1963 in Dallas\, Texas?",John F. Kennedy,Lee Harvey Oswald,John Lennon,Mahatma Gandhi
History,Medium,Who was the ruler of the Principality of Monaco who married actress Grace Kelly in 1956?,Prince Ranier,Prince Monét,Prince Javier,Prince Louis
History,Medium,Which of these is a building in the acropolis of Athens?,Parthenon,Colosseum,Vivarium,Academy
History,Medium,What historic event does the nursery rhyme 'Ring Around the Rosie' commemorate?,The Great Plague,The Napoleonic Wars,The Fall of Rome,The Discovery of the New World
History,Medium,"Which historic figure's statue\, signaling 'V for victory!'\, stands outside the British embassy in Washington\, D.C.?",Winston Churchill,Abraham Lincoln,George Washington,Margaret Thatcher
History,Medium,Which frontiersman died at the Alamo?,Davy Crockett,Davy Jones,Davy Barrow,Davy Dylan
History,Medium,Which famous female ruler came to power in a 1762 coup against her husband?,Catherine the Great,Mary Wollstonecraft,Queen Elizabeth I,Anne Boleyn
History,Medium,Who was the monarch of The United Kingdom during the time period 1837-1901?,Victoria,Mary II,Richard I,William IV
History,Medium,"In 1447\, Johannes Gutenberg invented the printing press. What was the first book he produced?",The Bible,Don Quixote,The Magna Carta,Macbeth
History,Medium,Peter Jackson is responsible for directing which famous trilogy?,The Lord Of The Rings,The Matrix,The Godfather,Jurassic Park
History,Medium,"In 1953\, Stalin Died. Who ultimately succeeded him as the leader of the Soviet Union?",Khrushchev,Putin,Gorbachev,Lenin
History,Medium,When was Julius Caesar murdered?,The Ides of March,The Kalends of August,The Ides of May,The Kalends of December
History,Medium,Who became the Prime Minister of India in 2014?,Narendra Modi,Rahul Gandhi,Manmohan Singh,Atal Bihari Vajpayee
History,Medium,Who was president of the USA at the outbreak of World War II?,Franklin Roosevelt,Dwight Eisenhower,Lyndon B. Johnson,Harry Truman
History,Medium,"What group of ships\, commanded by the Duke of Medina\, was considered invincible but was defeated by The Royal Navy in 1588?",Spanish Armada,The Napoleonic Fleet,The Viking Fleet,The Scottish Armada
History,Medium,What was the name of the defensive fortifications built by France along its border before World War 2?,The Maginot Line,The Hadrian Wall,The de Galle Bunkers,The Vichy System
History,Medium,Where did The Mayflower take the pilgrims?,America,Rome,The Moon,Scotland
History,Medium,Which country was split into two zones by the Yalta agreement?,Germany,Korea,Vietnam,Ireland
History,Medium,Which American gangster was shot dead outside a Chicago cinema in July 1934?,John Dillenger,Al Capone,Vito Corleone,Ronald Kray
History,Medium,Which Roman statesman and military general was assassinated in 44 BC?,Julius,Augustus,Nero,Trajan
History,Medium,Which geographical location was the first word spoken on the moon?,Houston,Austin,Dallas,Atlanta
History,Medium,What was the nationality of Rasputin?,Russian,Indian,French,Egyptian
History,Medium,The eldest sons of the Kings of which country had the title 'Dauphin'?,France,Italy,England,China
History,Medium,Who made the first phone call to the moon?,Richard Nixon,John F Kennedy,Gerald Ford,Lyndon B Johnson
History,Medium,Which of the 7 Ancient Wonders of the World was a giant depiction of the Greek sun god Helios?,The Colossus of Rhodes,The Temple of Artemis,The Great Pyramid of Giza,The Statue of Zeus
History,Medium, What was Sir Henry Morgan famous for in the 17th century?,Pirate,Judge,Prime Minister,General
History,Medium,When was COVID-19 declared a Global Pandemic?,2020,2019,2021,2018
History,Medium,In what type of building did Plato and Aristotle teach?,Gymnasium,Sauna,Auditorium,Cafeteria
History,Medium,What resin was used by Ancient Romans as jewelry?,Amber,Acacia,Carob,Bees Wax
History,Medium,Which newly independent nation took control of Texas in 1821?,Mexico,United States,Spain,Great Britain
History,Medium,Which country invaded Tibet in 1950?,China,India,The USSR,The USA
History,Medium,In which country was Adolf Hitler born?,Austria,Germany,Belgium,Switzerland
History,Medium,Which country ruled Cambodia immediately before WWII?,France,The UK,Spain,China
History,Medium,Which dynasty ruled China from 1368- to 1644?,Ming,Tang,Qing,Wu
History,Medium,In which country was paper money first used?,China,France,The USA,Greece
History,Medium,What happened on the 21st July 1969?,First Manned moon landing,John F Kennedy was assassinated,The Internet was invented,World War 2 ended
History,Medium,In what year was the United Nations formed?,1945,1938,1922,1918
History,Medium,What was the official language of the Holy Roman Empire?,Latin,German,Sanskrit,Greek
History,Medium,In which year was the first human sent into space?,1961,1947,1954,1968
History,Medium,Who was the youngest person ever elected president of the USA?,John F. Kennedy,Theodore Roosevelt,Abraham Lincoln,Barack Obama
History,Medium,Which dictator was executed by firing squad on Christmas Day 1999?,Nicolae Ceausescu,Slobodan Milošević,Josef Stalin,Colonel Gaddafi
History,Medium,What kind of country did Cuba become under Fidel Castro?,Socialist state,Constitutional monarchy,Representative democracy,Aristocracy
History,Medium,Where was Nelson Mandela held in prison?,Robben Island,Bishop Island,Truncheon Island,Carril Island
History,Medium,Which founder of the Jesuits was imprisoned on two occasions during the Spanish Inquisition?,St. Ignatius Loyola,Pope Francis,St. Peter,St. Paul
History,Medium,In which Massachusetts town were 20 people executed for witchcraft in 1692?,Salem,Greensboro,Alexandria,Wilmington
History,Medium,Which of these was a grandson of Ghengis Khan?,Kublai Khan,Timor Khan,Genghis Auguste,Genghis Xiaoping
History,Medium,The American M4 tank is better known as what?,The Sherman Tank,The Herman Tank,The Berman Tank,The German Tank
History,Medium,Who was the last president of the Soviet Union?,Gorbachev,Yeltsin,Putin,Khrushchev
History,Medium,"Which Polish astronomer\, born in 1473\, had his books on heliocentric theory censored by church edict in 1616?",Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Isaac Newton
History,Medium,Which building in Berlin was burned down In 1933?,The Reichstag,The Brandenburg Gate,Charlottenburg Palace,The Berlin Wall
History,Medium,Who fought for the Holy Land between 1095 and 1291?,The Crusaders,The Zealots,The Infidels,The Righteous
History,Medium,In which year did the European Union (EU) form?,1993,1973,1953,1933
History,Medium,"In the 480 B.C. Battle of Salamis\, Athens joined other cities to defeat which nation?",Persia,Greece,Rome,Egypt
History,Medium,Which empire put down a revolt led by Vercingetorix in 52 B.C.?,Roman,Greek,Persian,Egyptian
History,Medium,What was the name of the first artificial satellite to be launched into space?,Sputnik,Endeavour,Landsat,Terra
History,Medium,Which British Prime Minister was in office for the majority of World War II?,Winston Churchill,Neville Chamberlain,Anthony Eden,Tony Blair
Science,Medium,What is the name of a triangle with three sides of unequal length?,Scalene triangle,Equilateral triangle,Isosceles triangle,Parallelogram
Science,Medium,What is Cryptozoology the study of?,Mythical animals,Blackberries,Allergies,Flags
Science,Medium,What is Paleoanthropology the study of?,Prehistoric people and human origins,Interactions between organisms and geomorphological processes,Study of refuse and trash,Crime
Science,Medium,What is Herbology the study of?,The therapeutic use of plants,The Assyrians,Alternative method of massage,Manipulative therapy|therapy or pressure on certain points of the sole of the feet as a means of relieving nervous tension
Science,Medium,What is Pharmacology the study of?,Drugs,The scientific study of muscles,Animal diseases,Museum management
Science,Medium,What is Ecclesiology the study of?,Churches,The skin,Winged insects,Soil
Science,Medium,Which planet is third in mass and eighth from the sun?,Neptune,Uranus,Venus,Saturn
Science,Medium,What is Zoopathology the study of?,Animal diseases,A synonym of Pulmonology,Cells,The climate
Science,Medium,Which scientist founded our modern periodic table?,Dmitri Mendeleev,Isaac Newton,Rosalind Franklin,Michael Faraday
Science,Medium,"What was the Colossus\, developed in Buckinghamshire in 1943?",A code-breaking computer,A nuclear-resistant tank,A supersonic bomber,An intercontinental missile
Science,Medium,What disease did the British navy begin issuing daily rations of lemon juice in 1795 to prevent?,Scurvy,Smallpox,Malaria,Yellow fever
Science,Medium,What kind of animal is a marmoset?,A Monkey,A Bird,A Rodent,A Marsupial
Science,Medium,What is Bibliology the study of?,Books and publishing,The shape of a persons skull,Pilates,Prehistoric life
Science,Medium,What is Symptomatology the study of?,Symptoms,Paranormal or psychic phenomenon that defy conventional scientific explanations,Sacred texts,Animals that may or may not be mythical
Science,Medium,What chemical has the formula NaCI?,Sodium chloride,Calcium magnesium carbonate,Trichloromethane,Iron Oxide
Science,Medium,__________ gather in groups to sleep through the winter. ,Rattlesnakes,Spiders,Frogs,Beetles
Science,Medium,What Nationality Was The Chemist Alfred Nobe?l,Swedish ,English,French,American
Science,Medium,Which is the hottest planet in the Solar System?,Venus,Jupiter,Mercury,Mars
Science,Medium,Animals and plants which produce light are said to be what?,Bioluminescent,Glogasmic,Technicolor,Natulight
Science,Medium,"In the electomagnetic spectrum\, what comes between X-rays and visible light?",Ultraviolet light,Radio waves,Gamma rays,Infrared
Science,Medium,What type of rocks contain fossils?,Sedimentary Rocks,Igneous Rocks,Metamorphic Rocks,Diamonds
Science,Medium,Which metallic element has the symbol 'Eu'?,Europium ,Uranium,Eugelium,Iron
Science,Medium,What causes Hypoglycemia?,Low Blood Sugar,High Cholesterol,High Blood Sugar,Low Cholesterol
Science,Medium,Which part of the body is affected by Rhinitis?,The Nose,The Kidneys,The Skin,The Brain
Science,Medium,Which ship did Charles Darwin famously travel on?,HMS Beagle,HMS Terrier,HMS Labrador,HMS Retriever
Science,Medium,"What is the name of the piece used to cover the intersection between two surfaces\, usually to prevent leaking?",Gasket,Circuit,Fuse,Bolt
Science,Medium,What is the word for a group of cubs?,A litter,A flight,A barren,A bevy
Science,Medium,What would you call a baby mallard?,A Duckling,An Infant,A Colt,A Foal
Science,Medium,What is Hydrogeology the study of?,Underground water,Water in space,Water in the human body,Rivers
Science,Medium,Who was the first animal in space?,Laika the Dog,Churley the Chimpanzee,Feefo the Cat,Monty the Rat
Science,Medium,What is the approximate temperature of an interstellar gas cloud?,10 K,100 K,1,000 K
Science,Medium,What is the name of a shape with nine sides?,Nonagon,Octagon,Hexagon,Septagon
Science,Medium,What is Paedology the study of?,Children's behavior and development,Male health and disease,Dinosaur bones,The anatomy of the cardiovascular system
Science,Medium,What sea creature adheres firmly to rocks and to the bottom of ships?,Barnacle,Clam,Oyster,Starfish
Science,Medium,A female goat is known as what?,A Nanny,A Sow,A Lioness,A Hen
Science,Medium,Which planet has the longest orbit around the sun?,Neptune,Jupiter,Uranus,Saturn
Science,Medium,"Corolla\, filament and stigma are parts of a what?",Flower,Star,Microchip,Spider
Science,Medium,What is the chemical formula for potassium nitrate?,KNO3,K3N,KOH,NaCI
Science,Medium,What is Aerology the study of?,The atmosphere,Books and manuscripts,Yeast,Christianity
Science,Medium,Name the second largest planet in the solar system.,Saturn,Neptune,Jupiter,Earth
Science,Medium,A __________ can squeeze through an opening no larger than a dime?,Rat,Squirrel,Rabbit,Shrew
Science,Medium,What infectious lung disease is known by two letters?,TB,HF,CC,AK
Science,Medium,Which of the following is a direct symptom of asthma?,Shortness of breath,Fever,Weight loss,Headache
Science,Medium,Which color is between green and violet in the visible spectrum?,Blue,Yellow,Red,Orange
Science,Medium,What is dry ice?,Solid Carbon Dioxide,Solid Methane,Solid Helium,Solid Oxygen
Science,Medium,Which gland produces insulin?,The Pancreas,Thyroid,Cyretic,Insuloid
Science,Medium,Which bird lays its eggs in the nests of other birds? ,Cuckoo,Sparrow,Stork,Vulture
Science,Medium,What is the name of the natural phenomenon that occurs when particles from the solar wind interact with gases in the atmosphere?,Aurora,Dawn,Twilight,Eclipse
Sports,Medium,What is the name of the sport covered in the book 'Pinstripe Empire'?,Baseball,Football,Soccer,Basketball
Sports,Medium,Which of these is a board game where players must move pieces around a board in an effort to capture their opponent's pieces?,Checkers,Life,Monopoly,Scrabble
Sports,Medium,What is the name of the poker hand that consists of three cards of one rank and two cards of another rank?,A full house,A flush,A straight,Three of a kind
Sports,Medium,How Many Lanes Does An Olympic Standard Swimming Pool Have?,Eight,Four,Twelve,Sixteen
Sports,Medium,In bowling what is the term for knocking down all ten pins in a single frame with 2 consecutive balls?,A Spare,A Strike,A Near,A Close
Sports,Medium,With which sport is Aryton Senna associated?,Motor Racing,Track and field,Rowing,Baseball
Sports,Medium,The sport named softball is a direct descendant of which other sport?,Baseball,Dodgeball,Fistball,Tetherball
Sports,Medium,With which sport is Michael Johnson associated?,Athletics,Hockey,Table tennis,Gymnastics
Sports,Medium,What is the name of the classic board game where players must conquer the world by building armies and invading other players' territories?,Risk,Monopoly,Trivial Pursuit,Life
Sports,Medium,This sport is called the 'American pastime'?,Baseball,Football,Basketball,Ice Hockey
Sports,Medium,What numbers are on either side of 20 on a dartboard,5 And 1,1 and 19,7 and 13,15 and 5
Sports,Medium,What do the five rings on the Olympic flag represent?,The 5 Continents,The 5 founding countries of the modern Olympics,The 5 city states of ancient Greece,The 5 events of the ancient Olympics
Sports,Medium,Which of these is a Korean martial art?,Taekwondo,Karate,Judo,Muay Thai
Sports,Medium,"What term is used to describe the cards in a deck that have either a Jack\, Queen\, or King on the card?",Face cards,Number cards,Lord cards,Icon cards
Sports,Medium,With which sport is Jose Mourinho associated?,Football,Table tennis,Ice Hockey,Baseball
Sports,Medium,The US Tennis Open takes place at which venue?,Flushing Meadows,Newport Casino,Orange Tennis Club,Philadelphia Cricket Club
Sports,Medium,"In hockey\, what is the penalty called that involves impeding the progress of an opponent with the stick?",Hooking,Swiping,Checking,Slashing
Sports,Medium,Which player won her last tennis Grand Slam Tournament in Paris in 1999?,Steffi Graff,Billie Jean King,Venus Williams,Maria Sharapova
Sports,Medium,Which of these is an American Football team based in Houston?,Houston Texans,Houston Capitals,Houston Celtics,Houston Penguins
Sports,Medium,Which of these is a hockey team based in Washington?,Washington Capitals,Washington Eathquakes,Washington Celtics,Washington Jets
Sports,Medium,Which of these is an American Football team based in New York?,New York Jets,New York Jaguars,New York Saints,New York Kraken
Sports,Medium,What was the hybrid pinball/video game in the Pac-Man series?,Baby Pac-Man,Miss Pac-Man,Mrs Pac-Man,Super Pac-Man
Sports,Medium,What is the nickname of the English football team Norwich City?,The Canaries,The Tigers,The Foxes,The Posh
Sports,Medium,Which of these is an American Football team based in Kansas City?,Kansas City Chiefs,Kansas City Bears,Kansas City Mariners,Kansas City Pistons
Sports,Medium,Which sport is played at The Ryder Cup?,Golf,Ice Hockey,Cricket,Sailing
Sports,Medium,Which country has won the most FIFA World Cups?,Brazil,Germany,Italy,Argentina
Sports,Medium,What is the 'perfect score' in a game of ten pin bowling?,300,200,100,500
Sports,Medium,In 1974 who was sacked from his position of England football manager?,Alf Ramsey,Oliver Stanton,Glenn Hoddle,Jack Dorsey
Sports,Medium,Which of these is a soccer team based in Seattle?,Seattle Sounders,Seattle Bengals,Seattle Union,Seattle Flyers
Sports,Medium,What is a type of baseball designed for young players who are still developing their hitting skills?,Tee-ball,Korf-ball,Kinderball,Knuckleball
Sports,Medium,Which of these games makes use of hoops?,Croquet,Tennis,Badminton,Billiards
Sports,Medium,Who holds the record for all-time career earnings on the U.S. PGA circuit?,Tiger Woods,Phil Mickelson,Arnold Palmer,Jack Nicklaus
Sports,Medium,In which sport does Lee Westwood play?,Golf,Boxing,Tennis,Snooker
Sports,Medium,With which sport is Billie Jean King associated?,Tennis,Volleyball,Cycling,Badminton
Sports,Medium,Which of these is a competition in Golf?,The Open Championship,The Stanley Cup,The Copa America,The IAAF World Championships
Sports,Medium,Which of these is a hockey team based in Pittsburgh?,Pittsburgh Penguins,Pittsburgh Lions,Pittsburgh Canucks,Pittsburgh Flames
Sports,Medium,Who Did Muhammed Ali Fight In 'The Rumble In The Jungle''?,George Foreman,Joe Frazier,Wilfredo Gomez,Roberto Duran
Sports,Medium,Which of these is a baseball team based in New York?,New York Mets,New York Canadiens,New York As,New York Braves
Sports,Medium,"In 1988\, Bobby Fischer invented a new type of clock that has since become widely used in which board game?",Chess,Checkers,Backgammon,Go
Sports,Medium,"In Chess\, how many pieces are on the board at the start of a game?",32,16,20,12
Sports,Medium,What is the word for a racing sled?,Luge,Bobs,Trok,Aski
Sports,Medium,What is the name for the container in which an archer keeps their arrows?,A quiver,A holster,A pouch,A sheath
Sports,Medium,Which sportswear company is the brand with three stripes?,Adidas,Reebok,Puma,Nike
Sports,Medium,What is the name of the player in baseball who is positioned behind the home plate?,Catcher,Pitcher,Guard,Steer
Sports,Medium,Which of these is a basketball team based in New York?,New York Knicks,New York 76ers,New York Penguins,New York Eagles
Sports,Medium,With which sport is Imran Khan associated?,Cricket,Surfing,Motor racing,Rowing
Sports,Medium,How many pockets are on a regulation pool table?,6,4,8,10
Sports,Medium,"In boxing\, what is meant by\, the term 'southpaw'?",Left-handed,Lightweight,Quick-footed,Unpredictable
Sports,Medium,What sport would you associate with The Daytona 500?,Motorsports,Baseball,Horse Racing,American Football
Sports,Medium,What extreme sport is Tony Hawk known for?,Skateboarding,Surfing,BMX,Skydiving
